17336	14880	10148	2232	-13639	-103
13416	14328	4088	-17132	-9952	-4751
18176	5688	3076	-8027	976	-532
10868	13016	3160	-2082	2650	-204
14924	8448	3860	-4013	1147	-1478
11376	12568	1352	-3342	2042	-1924
11572	12392	2188	-1774	1999	-2829
11696	11660	4064	-292	1268	-601
12072	10600	4640	238	1157	500
12368	10860	5540	3207	8395	389
11416	9536	4080	-406	8250	-230
7372	10588	2768	-4708	2898	-380
11660	11148	4500	1165	2238	-1744
12664	11300	2556	8848	2498	-2074
11668	9884	4724	7970	2166	-342
10764	8968	4992	7186	4444	2139
10420	8968	2476	6202	3353	4349
11920	11008	4424	7123	1642	4617
12344	11344	4356	7277	436	3946
12644	12000	4292	5713	-795	3915
12592	12132	4380	2224	-1426	3575
11652	10976	3492	-488	-1936	3050
11352	11304	4300	-2641	-1784	2049
11520	11272	4088	-6720	-2060	560
11696	11504	3812	-9451	-4075	-561
12168	12120	4188	-12400	-4977	-2626
12648	12160	3744	-14849	-6298	-4118
12204	11416	3644	-18077	-7991	-4547
12424	11676	3900	-20339	-8677	-5120
12800	11748	3464	-21844	-10074	-5670
12272	11240	3420	-22925	-12470	-5973
11628	10452	2972	-23588	-14175	-6395
12628	11080	3204	-23699	-16148	-6673
12736	11316	3168	-23302	-18315	-7295
12172	10424	3052	-23070	-20533	-7793
12512	10316	4568	-22679	-21967	-8214
12416	10176	3832	-21938	-22685	-8383
12364	10048	3468	-20874	-22886	-8572
13040	10768	3412	-19497	-22608	-8598
12776	10188	4140	-17029	-20760	-7824
12696	9884	4392	-14885	-18046	-6606
13028	10184	4556	-12289	-15050	-4697
13504	10692	4856	-9917	-11305	-2678
12556	10012	5192	-7213	-7177	-693
12536	10068	4788	-4415	-3199	1415
12540	10392	4904	-2052	-213	2884
12680	10640	4680	17	2904	3670
12708	11024	4584	1547	5369	4281
12632	11140	4528	2500	7284	4452
12732	11240	4388	3400	8575	3976
12556	11584	4076	4280	8720	3043
12356	11344	3996	4994	8298	1779
12176	11060	3984	5844	7694	631
12344	10588	3784	5969	7284	-256
12536	11644	3800	7675	6650	-1151
12420	10964	4060	8920	5826	-1500
12236	10508	4276	10271	5656	-1244
11968	9892	3168	11992	6614	-405
11668	9712	3844	13140	7793	565
12384	10300	3836	15100	9236	1725
12568	10420	4160	16425	11031	2998
12432	10332	4456	17225	13411	4287
12296	10096	4428	17498	15734	5424
12780	10924	4320	17319	17203	6189
12772	11184	4068	16879	18028	6187
12496	11092	3812	16167	18581	5707
12244	11000	3616	14968	18642	5080
11708	10580	3596	13581	18075	4327
11744	10676	3672	12437	16987	3393
11884	10904	3472	11756	14991	2485
12204	11220	3668	11082	12819	1454
11652	10564	3656	10407	11188	1156
11532	10168	3280	9773	10624	1375
11984	10836	4016	9492	8875	1719
12168	10952	3808	9451	7055	2074
12256	10904	3876	9263	6355	2379
12196	11016	4068	8672	5535	3092
12084	10984	4120	7472	5050	3638
12268	11380	3928	6214	4354	3785
