1	17336	14880	10148	2232	-13639	-103
2	13416	14328	4088	-17132	-9952	-4751
3	18176	5688	3076	-8027	976	-532
4	10868	13016	3160	-2082	2650	-204
5	14924	8448	3860	-4013	1147	-1478
6	11376	12568	1352	-3342	2042	-1924
7	11572	12392	2188	-1774	1999	-2829
8	11696	11660	4064	-292	1268	-601
9	12072	10600	4640	238	1157	500
10	12368	10860	5540	3207	8395	389
11	11416	9536	4080	-406	8250	-230
12	7372	10588	2768	-4708	2898	-380
13	11660	11148	4500	1165	2238	-1744
14	12664	11300	2556	8848	2498	-2074
15	11668	9884	4724	7970	2166	-342
16	10764	8968	4992	7186	4444	2139
17	10420	8968	2476	6202	3353	4349
18	11920	11008	4424	7123	1642	4617
19	12344	11344	4356	7277	436	3946
20	12644	12000	4292	5713	-795	3915
21	12592	12132	4380	2224	-1426	3575
22	11652	10976	3492	-488	-1936	3050
23	11352	11304	4300	-2641	-1784	2049
24	11520	11272	4088	-6720	-2060	560
25	11696	11504	3812	-9451	-4075	-561
26	12168	12120	4188	-12400	-4977	-2626
27	12648	12160	3744	-14849	-6298	-4118
28	12204	11416	3644	-18077	-7991	-4547
29	12424	11676	3900	-20339	-8677	-5120
30	12800	11748	3464	-21844	-10074	-5670
31	12272	11240	3420	-22925	-12470	-5973
32	11628	10452	2972	-23588	-14175	-6395
33	12628	11080	3204	-23699	-16148	-6673
34	12736	11316	3168	-23302	-18315	-7295
35	12172	10424	3052	-23070	-20533	-7793
36	12512	10316	4568	-22679	-21967	-8214
37	12416	10176	3832	-21938	-22685	-8383
38	12364	10048	3468	-20874	-22886	-8572
39	13040	10768	3412	-19497	-22608	-8598
40	12776	10188	4140	-17029	-20760	-7824
41	12696	9884	4392	-14885	-18046	-6606
42	13028	10184	4556	-12289	-15050	-4697
43	13504	10692	4856	-9917	-11305	-2678
44	12556	10012	5192	-7213	-7177	-693
45	12536	10068	4788	-4415	-3199	1415
46	12540	10392	4904	-2052	-213	2884
47	12680	10640	4680	17	2904	3670
48	12708	11024	4584	1547	5369	4281
49	12632	11140	4528	2500	7284	4452
50	12732	11240	4388	3400	8575	3976
51	12556	11584	4076	4280	8720	3043
52	12356	11344	3996	4994	8298	1779
53	12176	11060	3984	5844	7694	631
54	12344	10588	3784	5969	7284	-256
55	12536	11644	3800	7675	6650	-1151
56	12420	10964	4060	8920	5826	-1500
57	12236	10508	4276	10271	5656	-1244
58	11968	9892	3168	11992	6614	-405
59	11668	9712	3844	13140	7793	565
60	12384	10300	3836	15100	9236	1725
61	12568	10420	4160	16425	11031	2998
62	12432	10332	4456	17225	13411	4287
63	12296	10096	4428	17498	15734	5424
64	12780	10924	4320	17319	17203	6189
65	12772	11184	4068	16879	18028	6187
66	12496	11092	3812	16167	18581	5707
67	12244	11000	3616	14968	18642	5080
