-820	-4604	16784	674	814	2160
-628	-4592	17500	1537	2255	2501
-1308	-4512	17288	1	2196	2233
-1416	-4056	15872	514	-190	2074
-2092	1940	12288	-5833	-4143	785
-808	-4392	16432	-1799	-24	-189
-288	-4656	17136	-174	661	109
-2124	-4228	17872	43	1851	285
-1456	-3772	17156	-265	505	230
-524	-4184	17272	-1473	-1008	488
-928	-4056	17340	-1121	-1121	1398
-1004	-3824	17368	-121	-1270	1548
-1152	-3884	18012	7	-998	1777
-1220	-3152	17116	547	-1442	1323
-228	-3084	16888	1334	-2158	-322
208	-3636	17416	2535	816	1027
-964	-3668	16312	-1265	-22	-732
-488	-3772	16644	-966	-77	-633
-704	-3996	16384	-533	496	-602
-288	-4220	16472	-104	420	-453
-412	-4148	16564	-242	227	-402
-352	-4044	16932	-109	-429	-480
-164	-4832	17452	-109	-53	-414
8	-2628	16484	-67	83	-240
-236	-3984	17492	225	-7	-123
-664	-3828	17160	-60	-456	-23
252	-3280	17032	1592	-283	966
-572	-3228	17156	-918	184	-127
-144	-3588	16900	-1100	-370	142
-32	-3908	16788	-922	-184	181
140	-3752	16932	-572	167	154
28	-3864	17176	-301	748	24
100	-3620	17296	-502	780	-169
-160	-3704	17080	-169	246	-396
12	-3696	16968	-322	405	-405
-164	-3884	16892	-369	489	-332
-144	-4048	16952	-308	477	-196
12	-3944	16760	-96	339	-177
-56	-4044	16908	44	360	-102
-252	-4004	16876	195	276	-155
-152	-3932	17312	-37	381	-299
-188	-3876	17452	1	580	-457
-192	-3820	17196	-214	558	-494
-156	-3760	17244	-271	260	-374
-20	-3636	17576	-221	583	-361
-40	-3720	17348	-518	828	-357
-124	-3612	17020	-666	518	-376
96	-3616	17068	-640	454	-402
52	-3744	17004	-603	559	-368
-76	-3608	16756	-527	509	-330
-164	-3636	16996	-422	374	-397
-252	-3664	17020	-455	466	-398
-400	-3628	16928	-560	428	-421
-344	-3720	17084	-552	372	-504
-464	-3488	17008	-594	213	-609
-492	-3720	17212	-502	297	-685
-488	-3660	17248	-391	386	-664
-576	-3452	17332	-459	426	-823
-580	-3592	17140	-562	581	-952
-544	-3692	16960	-489	406	-1065
-476	-3580	17024	-428	562	-1215
-376	-3644	16916	-675	445	-1239
