0	0	0	0	0	0
-676	-8740	16144	1416	-1904	-260
352	-7024	15956	526	-378	213
-1012	-9412	15316	-376	579	-159
152	-8244	16444	648	-1271	334
396	-8024	15212	-314	1376	938
-228	-7648	14452	7	-685	208
72	-7812	15240	-409	30	-17
104	-8048	15256	-529	-214	-123
264	-7832	14820	-467	477	409
-948	-8588	15752	-450	-216	-231
652	-6908	18512	-78	143	-424
564	-7608	15448	-1275	943	304
40	-9292	16356	1259	-718	-173
-560	-7884	14992	-655	1291	339
896	-7380	16188	-135	1117	48
240	-7448	16012	-292	447	210
524	-6988	15924	-153	459	46
-372	-7728	14604	-660	15	487
-232	-7768	14948	-113	-508	-484
-88	-7680	16044	-919	844	424
-772	-8760	15008	-781	1564	1070
-128	-7480	15576	-161	120	294
-280	-7368	15268	-523	282	113
-112	-7680	15368	398	-359	-16
680	-48	15196	-631	-572	578
444	-7092	16656	-409	142	343
420	-6408	15500	1657	-1256	-496
1040	-5892	15936	1185	-574	172
676	-6104	16080	498	-1239	-366
2116	-4620	17132	1024	-949	-442
1776	-4848	16492	35	358	217
2024	-5184	16184	-355	174	103
1852	-5340	16152	-1343	1149	2194
5892	-2892	16756	-1108	-3730	3085
-76	-7332	18872	8294	-1806	6573
-1544	-7936	20144	-1869	-5320	-5722
-20	-6020	14556	-1688	177	-3263
796	-7332	19432	-20806	11218	-11144
-1484	-5072	15092	-9146	5196	-9883
2824	-7260	15756	8103	-5274	-13010
4500	-4556	16564	-1813	-675	265
3812	-7816	16408	-8256	2136	1057
3840	-9188	12512	-4211	-1143	-996
3208	-9704	13096	-779	3026	-2444
3280	-9968	13476	-409	-246	69
3548	-9812	13804	-503	315	347
3488	-9860	13820	-747	407	-223
3320	-9488	13860	-786	178	1079
3636	-9620	14196	-370	385	513
3792	-8992	14040	-335	301	250
3372	-9056	13640	-253	570	519
3440	-9028	14184	1139	-78	132
1608	-12432	9096	8222	575	484
1952	-8788	13304	3589	548	2098
3060	-8088	16180	4586	828	941
1700	-8520	16112	4353	1049	4833
1464	-9076	20400	1805	-3254	102
2588	-4120	12812	3110	-1616	694
1972	-6056	14184	3796	-1331	1877
408	-5168	10696	2106	4704	1585
4336	-2244	16372	2268	-250	-127
